Time Lon Lat Dep(km) Mag
2012-12-07T08:18:23.630000Z 144.1594 37.8201 35.3 7.2
2012-11-07T16:35:49.310000Z -92.0669 14.0318 38.7 7.4
2012-10-28T03:04:07.790000Z -132.1724 52.6777 7.4 7.8
2012-09-30T16:31:34.070000Z -76.3716 1.9079 155.2 7.2
2012-09-05T14:42:07.730000Z -85.3884 10.0242 20.7 7.6
2012-08-31T12:47:35.540000Z 126.8262 10.8107 44.4 7.6
2012-08-27T04:37:19.650000Z -88.6604 12.1318 16.0 7.3
2012-08-14T02:59:38.860000Z 145.3057 49.75 590.7 7.7
2012-04-12T07:15:49.170000Z -113.127 28.8386 10.0 7.0
2012-04-11T10:43:10.530000Z 92.4284 0.7675 21.6 8.2
2012-04-11T08:38:37.800000Z 93.0144 2.2376 26.3 8.6
2012-03-25T22:37:06.560000Z -72.1268 -35.2035 28.2 7.1
2012-03-20T18:02:47.620000Z -98.3694 16.4734 19.4 7.5
2012-03-14T09:08:36.230000Z 145.0154 40.842 19.2 7.0
2012-02-02T13:34:41.010000Z 167.1814 -17.7532 27.3 7.0
2012-01-10T18:37:00.190000Z 93.2081 2.4307 20.9 7.2
2011-12-14T05:04:57.810000Z 146.814 -7.5278 128.5 7.1
